"Datum";"+A/84121509 [kW]";"Status";
"03.01.2024 06:30:00";2,076;"namìøená data OK";
"03.01.2024 06:45:00";4,045;"namìøená data OK";
"03.01.2024 07:00:00";3,244;"namìøená data OK";
"03.01.2024 07:15:00";2,94;"namìøená data OK";
"03.01.2024 07:30:00";3,057;"namìøená data OK";
"03.01.2024 07:45:00";2,235;"namìøená data OK";
"03.01.2024 08:00:00";1,995;"namìøená data OK";
"03.01.2024 08:15:00";1,971;"namìøená data OK";
"03.01.2024 08:30:00";1,957;"namìøená data OK";
"03.01.2024 08:45:00";2,006;"namìøená data OK";
"03.01.2024 09:00:00";1,991;"namìøená data OK";
"03.01.2024 09:15:00";1,982;"namìøená data OK";
"03.01.2024 09:30:00";1,969;"namìøená data OK";
"03.01.2024 09:45:00";1,35;"namìøená data OK";
"03.01.2024 10:00:00";0,204;"namìøená data OK";
"03.01.2024 10:15:00";0,205;"namìøená data OK";
"03.01.2024 10:30:00";0,187;"namìøená data OK";
"03.01.2024 10:45:00";0,04;"namìøená data OK";
"03.01.2024 11:00:00";0;"namìøená data OK";
"03.01.2024 11:15:00";0,192;"namìøená data OK";
"03.01.2024 11:30:00";0,725;"namìøená data OK";
"03.01.2024 11:45:00";0,758;"namìøená data OK";
"03.01.2024 12:00:00";2,587;"namìøená data OK";
"03.01.2024 12:15:00";2,794;"namìøená data OK";
"03.01.2024 12:30:00";2,775;"namìøená data OK";
"03.01.2024 12:45:00";1,75;"namìøená data OK";
"03.01.2024 13:00:00";2,538;"namìøená data OK";
"03.01.2024 13:15:00";1,942;"namìøená data OK";
"03.01.2024 13:30:00";0,069;"namìøená data OK";
"03.01.2024 13:45:00";0,028;"namìøená data OK";
"03.01.2024 14:00:00";0,08;"namìøená data OK";
"03.01.2024 14:15:00";0,549;"namìøená data OK";
"03.01.2024 14:30:00";0,321;"namìøená data OK";
"03.01.2024 14:45:00";0,07;"namìøená data OK";
"03.01.2024 15:00:00";0,014;"namìøená data OK";
"03.01.2024 15:15:00";0,727;"namìøená data OK";
"03.01.2024 15:30:00";1,927;"namìøená data OK";
"03.01.2024 15:45:00";1,938;"namìøená data OK";
"03.01.2024 16:00:00";1,977;"namìøená data OK";
"03.01.2024 16:15:00";2,469;"namìøená data OK";
"03.01.2024 16:30:00";2,835;"namìøená data OK";
"03.01.2024 16:45:00";2,608;"namìøená data OK";
"03.01.2024 17:00:00";0,611;"namìøená data OK";
"03.01.2024 17:15:00";3,559;"namìøená data OK";
"03.01.2024 17:30:00";3,604;"namìøená data OK";
"03.01.2024 17:45:00";3,572;"namìøená data OK";
"03.01.2024 18:00:00";3,627;"namìøená data OK";
"03.01.2024 18:15:00";3,636;"namìøená data OK";
"03.01.2024 18:30:00";4,734;"namìøená data OK";
"03.01.2024 18:45:00";2,207;"namìøená data OK";
"03.01.2024 19:00:00";2,246;"namìøená data OK";
"03.01.2024 19:15:00";2,224;"namìøená data OK";
"03.01.2024 19:30:00";2,398;"namìøená data OK";
"03.01.2024 19:45:00";2,288;"namìøená data OK";
"03.01.2024 20:00:00";0,429;"namìøená data OK";
"03.01.2024 20:15:00";0,453;"namìøená data OK";
"03.01.2024 20:30:00";0,244;"namìøená data OK";
"03.01.2024 20:45:00";0,205;"namìøená data OK";
"03.01.2024 21:00:00";0,343;"namìøená data OK";
"03.01.2024 21:15:00";0,676;"namìøená data OK";
"03.01.2024 21:30:00";0,247;"namìøená data OK";
"03.01.2024 21:45:00";0,197;"namìøená data OK";
"03.01.2024 22:00:00";0,231;"namìøená data OK";
"03.01.2024 22:15:00";0,203;"namìøená data OK";
"03.01.2024 22:30:00";0,24;"namìøená data OK";
"03.01.2024 22:45:00";0,203;"namìøená data OK";
"03.01.2024 23:00:00";0,245;"namìøená data OK";
"03.01.2024 23:15:00";0,267;"namìøená data OK";
